Year,County,Municipality,DEC ID,Facility Name,SIC Code,VOC (tons),NOx (tons),CO (tons),CO2 (tons),Particulates (tons),PM10 (tons),PM2.5 (tons),HAPS (tons),SO2 (tons),Location
2016,SUFFOLK,MELVILLE,1472600258,POLY-PAK MFG PLANT,2759,34.71,0.5,0.42,599.54,0.04,0,0.04,0,0,POINT (-73.41617 40.79311)
2014,CHAUTAUQUA,ELLERY,9063600006,CHAUTAUQUA COUNTY LANDFILL,4953,4.96,79.58,52.77,100883.48,7.21,1.04,6.17,0,25.99,POINT (-79.34646 42.18311)
2019,OSWEGO,FULTON,7355800013,OSWEGO CO ENERGY RECOVERY FAC,4953,4.65,133.57,4.71,25221.48,0.71,0,0,0,9.61,POINT (-76.41527 43.32201)
2022,SUFFOLK,EDGEWOOD,1472804190,AMCOR FLEXIBLES NORTH AMERICA INC,2671,32.24,4.87,4.09,5992.6,0.37,0.37,0,0,0.03,POINT (-74.21237 42.14037)
2018,TOMPKINS,ITHACA,7500700030,CORNELL UNIVERSITY CENTRAL ENERGY PLANT,8221,5.09,33.09,15.99,168536.91,6.45,0.01,1.14,0.09,9.29,POINT (-76.49546 42.44051)
2015,FULTON,JOHNSTOWN,5172800122,INNOVATIVE / FULTON,4911,4.02,11.67,44.59,8130.2,0.9,0.9,0,0.54,0.9,POINT (-74.36846 43.00655)
2011,CHAUTAUQUA,JAMESTOWN,9060800053,SAMUEL A CARLSON GENERATING STATION,4911,1.85,159.77,20.53,52290.15,9.59,8.87,8.6,10.66,653.84,POINT (-79.2378 42.09605)
2020,ONONDAGA,MANLIUS,7313800015,L & J G STICKLEY INC,2511,38.52,49.53,50.86,57800.05,9.93,1.59,7.4,0.01,0.35,POINT (-75.9804 43.00234)
2018,BRONX,EAST ELMHURST,2600700259,NYC-DOC - RIKERS ISLAND,9223,2.61,44.85,51.21,66655.68,3.86,0.5,3.35,0,2.03,POINT (-73.87402 40.76439)
2013,SUFFOLK,RIVERHEAD,1473000023,UNITED RIVERHEAD TERMINAL,5171,4.51,24.57,2.7,13210.25,4.7,0.03,0.03,0,48.12,POINT (-72.66016 40.95036)
2011,ALBANY,BETHLEHEM,4012200007,SABIC INNOVATIVE PLASTICS US LLC,2821,80.78,78.63,32.55,1712.77,13.22,12.7,0.33,0,5.3,POINT (-73.83926 42.61989)
2010,KINGS,BROOKLYN (6102),2610200116,GOWANUS GENERATING STATION,4911,0.72,122.57,20,37883.67,4.64,4.33,2.99,0,2.3,POINT (-73.99036 40.69245)
2015,SUFFOLK,BROOKHAVEN,1472204426,CAITHNESS LONG ISLAND ENERGY CENTER,4911,0.03,1341.23,5.22,826999.8,10.75,0,10.7,0,4.23,POINT (-72.91224 40.7737)
2010,CHAUTAUQUA,ELLERY,9063600006,CHAUTAUQUA COUNTY LANDFILL,4953,2.94,78.49,282.83,94105.45,12.04,11.13,0,0,25.79,POINT (-79.34646 42.18311)
2017,ALLEGANY,ANGELICA,9023200003,HYLAND LANDFILL,4953,21.08,39.87,214.74,29697.05,11.82,0,0.01,2.85,0.22,POINT (-78.02061 42.30738)
2019,NEW YORK,NEW YORK,2620400064,NY - PRESBYTERIAN HOSPITAL-525 E 68TH ST,8062,3.19,46.26,59.22,85850.68,0.03,5.72,0,0,0.59,POINT (-74.00712 40.71453)
2013,CHENANGO,NORWICH,7084200017,KERRY BIO-SCIENCE,2023,37.63,9.97,8.34,10687.93,0.9,0.76,0.68,2.44,0.06,POINT (-75.52426 42.53654)
2015,WESTCHESTER,YORKTOWN,3555400036,THOMAS J WATSON RESEARCH CENTER,3571,3.2,37.38,2.76,12002.88,3.23,0.19,0.03,0,22.62,POINT (-73.80819 41.29565)
2015,WASHINGTON,KINGSBURY,5534400001,WHEELABRATOR HUDSON FALLS,4953,1.14,237.02,31.44,72155.63,4.71,0.23,0.03,19.17,35.22,POINT (-73.58595 43.30063)
2021,ALBANY,GLENMONT,4012200044,BETHLEHEM ENERGY CENTER,4911,8.41,132.71,47.4,2164375.15,49.65,0,49.21,7.99,10.97,POINT (-73.77026 42.60476)
2020,ERIE,TONAWANDA,9146400132,SUNOCO TONAWANDA TERMINAL,4226,25.1,0.04,0.1,12.02,0,0,0,0,0,POINT (-78.88617 43.01888)
2013,ERIE,BUFFALO,9140200696,UNICELL BODY COMPANY INC,3713,17.23,0.33,0.28,385.6,1.77,0.03,0.03,0,0,POINT (-78.87846 42.88545)
2017,ROCKLAND,WEST HAVERSTRAW,3392200003,BOWLINE GENERATING STATION,4911,27.02,748.52,228.63,778163.93,51.4,0.24,48.51,0,65.71,POINT (-73.974 41.20391)
2017,NIAGARA,LOCKPORT,9292600016,LOCKPORT COGENERATION FACILITY,4931,0.71,99.14,53.74,73699.22,4.5,0,4.45,0,0,POINT (-78.69511 43.16926)
2010,SUFFOLK,ISLIP,1472803101,JASCO INDUSTRIES INC,2541,15,0.34,0.28,400.98,1.22,1.22,0.42,0,0,POINT (-73.218 40.72817)
2022,NEW YORK,NEW YORK,2620400059,MOUNT SINAI HOSPITAL,8062,2.34,18.97,31.59,46379.13,3.4,0.03,3.36,0.45,0.54,POINT (-74.00712 40.71453)
2022,ORANGE,MIDDLETOWN,3335200145,Ecobat Resources New York LLC,3341,4.51,402.6,136.69,30025.18,4.83,0,1.86,0.5,2.57,POINT (-74.42261 41.44584)
2021,ULSTER,SAUGERTIES,3514800084,NORTHEAST SOLITE CORPORATION,3295,77.02,188.94,0,53933.41,3.18,3.18,0,0,205.53,POINT (-73.95246 42.07778)
2022,WESTCHESTER,YONKERS,3551800214,AMERICAN SUGAR REFINING INC,2062,2.36,195.13,55.29,80836.27,72.25,0.17,4.85,0.77,1.56,POINT (-73.89874 40.93299)
2010,SUFFOLK,HUNTINGTON,1472600176,OAK TREE FARM DAIRY,241,1.74,69.87,18.59,3547.03,1.25,1.25,1.17,0,6.61,POINT (-73.42913 40.8722)
2022,DUTCHESS,BEACON,3130200017,CHEMPRENE INC,3052,9.68,0.32,0.27,411.85,0.6,0,0.02,8.59,0,POINT (-73.97282 41.50666)
2015,CHAUTAUQUA,BUSTI,9062200003,CUMMINS INC - JAMESTOWN ENGINE PLANT,3519,17.08,129.16,19.73,14928.4,2.55,1.71,0.83,0.02,0.72,POINT (-79.28338 42.03811)
2018,SUFFOLK,ISLIP,1472803067,BRENTWOOD PLANT,4911,0.33,3.29,2,36017.12,2,0,2,0,0.18,POINT (-73.218 40.72817)
2010,STEUBEN,ERWIN,8464200009,ERWIN MANUFACTURING COMPLEX,3299,0.62,4.1,3.45,26732.79,1.6,0.01,0,0,0.13,POINT (-77.14593 42.11225)
2022,QUEENS,ASTORIA,2630100191,ASTORIA GAS TURBINE POWER,4911,0.64,161.37,117.84,40607.17,1.19,0,1.14,0.37,1.11,POINT (-73.93014 40.77205)
2019,ERIE,BUFFALO,9140200565,GENERAL MILLS OPERATIONS LLC,2043,35.26,18.83,14.36,20110,2.72,77.06,0.03,0,0.19,POINT (-78.87846 42.88545)
2014,ERIE,TONAWANDA,9146400132,SUNOCO TONAWANDA TERMINAL,4226,37.14,0.3,0.75,0,0,0,0,0,0,POINT (-78.88617 43.01888)
2010,QUEENS,QUEENS (6307),2630700242,CREEDMOOR PSYCHIATRIC CTR,8063,0.54,13.61,7.42,10931.85,0.81,0.66,0.65,0,2.6,POINT (-73.82999 40.714)
2010,SUFFOLK,EAST HAMPTON,1472400345,EAST HAMPTON GT FACILITY,4911,3.26,92.86,9.05,15749.9,5.89,5.42,5.36,0,23.7,POINT (-72.18518 40.96375)
2010,RENSSELAER,RENSSELAER,4381400005,SPRAGUE ENERGY CORP,4226,2.94,0,0,0,0,0,0,0,0,POINT (-73.74127 42.64472)
2011,HERKIMER,FRANKFORT,6212600037,DOMINION TRANSMISSION INC - UTICA STATION,4922,5.54,11.28,8.9,1299.3,1.08,1.08,1,0,0.03,POINT (-75.07407 43.03638)
2013,ORANGE,MONTGOMERY,3334200271,RUSSIN LUMBER CORP,2499,34.44,0.06,0.05,249.12,0,0,0,0,0,POINT (-74.23723 41.52724)
2014,RICHMOND,STATEN ISLAND (6405),2640500073,KINDER MORGAN LIQUIDS TERMINALS LLC,4226,85.35,5.2,4.14,5798.1,0.38,0,0.37,0,0.05,POINT (-74.07527 40.64242)
2013,RICHMOND,STATEN ISLAND (6403),2640300014,ARTHUR KILL GENERATING STATION,4911,42.98,646.73,591.21,844269.2,106.74,53.24,53.19,0,4.27,POINT (-74.07527 40.64242)
2014,NIAGARA,NIAGARA FALLS,9291100152,NIAGARA GENERATING FACILITY,4911,0.68,106.91,105.44,156457.78,2.84,1.28,0.43,15.68,244.03,POINT (-79.05551 43.096)
2019,ROCKLAND,STONY POINT,3392800030,STONY POINT FACILITY,3275,0,0,0,0,0,0,0,0,0,POINT (-74.00764 41.23448)
2012,ERIE,NEWSTEAD,9145600142,WHITING DOOR MANUFACTURING CORP,3714,54.22,3.15,3.46,2124.95,1.91,0.14,0.07,0,0.01,POINT (-78.51674 43.01037)
2017,ONTARIO,CANANDAIGUA,8322400427,PACTIV TECHNOLOGY CENTER,8731,0.2,0.14,0.02,5.97,0.01,0,0,0,0,POINT (-77.28094 42.88809)
2015,CAYUGA,SENNETT,7055200004,OWENS-BROCKWAY GLASS CONTAINER INC,3221,23.26,363.78,26.59,7642.72,84.85,0,0,0.02,141.83,POINT (-76.53272 42.99479)
2021,KINGS,BROOKLYN,2610500301,KINGS PLAZA ENERGY LLC,4931,13.39,25.16,12.14,12783.25,1.16,0,1.15,8.1,0.07,POINT (-73.99036 40.69245)
2013,ONEIDA,ANNSVILLE,6302000024,HARDEN FURNITURE INC,2511,30.75,16.28,35.19,12338.3,19.27,19.2,0,0,1.59,POINT (-75.62347 43.30609)
2017,ALBANY,ALBANY,4010100112,GLOBAL COMPANIES LLC - ALBANY TERMINAL,5171,62.15,3.21,2.69,3933.38,0.24,0,0.24,0,0.02,POINT (-73.75521 42.65155)
2011,ROCKLAND,ORANGETOWN,3392400178,ROCKLAND PSYCHIATRIC CENTER,8063,0.46,10.36,6.31,8096.62,0.62,0.55,0.54,0,1.36,POINT (-73.95512 41.04593)
2021,ORANGE,MIDDLETOWN,3335200039,BALL METAL BEVERAGE CONTAINER CORP,3411,43.26,8.73,7.14,227.39,0.94,0.94,0,1.14,0.05,POINT (-74.42261 41.44584)
2010,NEW YORK,MANHATTAN (6204),2620400139,FRANKLIN PLAZA APARTMENTS,6513,0.56,27.16,2.47,12685.63,0.01,0.01,0,0.19,22.48,POINT (-74.00601 40.7145)
2010,DELAWARE,SIDNEY,4125000018,AMPHENOL CORP - AEROSPACE OPERATIONS,3471,5.6,18.44,2.02,9952.68,5.19,4.95,0,2.27,79.12,POINT (-75.38934 42.31297)
2016,KINGS,BROOKLYN,2610100185,BROOKLYN NAVY YARD COGENERATION PLANT,4911,0.03,41.69,6.78,1174765.47,0.06,0.06,0,0,5.97,POINT (-73.99036 40.69245)
2014,KINGS,BROOKLYN (6105),2610500301,KINGS PLAZA ENERGY LLC,4931,7.52,28.15,50.95,17668.66,1.62,0.01,1.6,0,0.09,POINT (-73.99036 40.69245)
2019,SUFFOLK,ISLIP,1472800628,BLYDENBURGH ROAD LANDFILL,4953,0.3,2.48,4.14,2675.74,0,0,0.7,0.32,14.98,POINT (-73.218 40.72817)
2010,OSWEGO,SCRIBA,7355600001,NOVELIS CORPORATION,3353,78.07,148.22,122.65,173003.44,124.37,11.11,0.06,20.58,5.87,POINT (-76.42047 43.4658)
2022,ROCKLAND,WEST HAVERSTRAW,3392200003,BOWLINE GENERATING STATION,4911,45.78,882.7,324.87,876443.4,62.12,1.1,60.41,14.06,100.75,POINT (-73.974 41.20391)
2013,TOMPKINS,ITHACA,7500700030,CORNELL UNIVERSITY MAIN CAMPUS,8221,7.26,32.18,11.47,138112.03,3.4,3.4,1.52,0.08,7.57,POINT (-76.49546 42.44051)
2017,OSWEGO,OSWEGO,7351200005,INDECK-OSWEGO ENERGY CENTER,4911,0.28,33.8,4.15,30783.4,2.05,0,2.05,0,0.16,POINT (-76.51119 43.45646)
2011,NIAGARA,NIAGARA FALLS,9291100160,WASHINGTON MILLS ELECTRO MINERALS,3291,0.09,2.52,1.43,1998.54,4.02,0.13,0,0,0.01,POINT (-79.05551 43.096)
2011,CHAUTAUQUA,FRENCH CREEK,9064200016,TENNESSEE GAS PIPELINE CO COMPRESSOR STATION 224,4922,25.87,59.95,86.07,23885.56,3.33,3.33,3.32,0,0.15,POINT (-79.71655 42.06855)
2016,RENSSELAER,RENSSELAER,4382400019,BUCKEYE RENSSELAER TERMINAL,5171,25.67,0.43,1.08,251.56,0.03,0,0.03,0,0.01,POINT (-73.74127 42.64472)
2011,ORANGE,MIDDLETOWN,3330900064,GENPAK LLC MIDDLETOWN MAIN PLANT,3089,50.15,1.44,0.44,1740.77,0.58,0,0,0,0.01,POINT (-74.42261 41.44584)
2018,ONONDAGA,SYRACUSE,7313200055,WESTROCK-SOLVAY LLC,2631,6.42,16.53,83.14,194469.17,11.71,0.13,11.51,0,36.14,POINT (-76.14738 43.05042)
2011,CHAUTAUQUA,HANOVER,9064600048,NASHVILLE COMPRESSOR STATION,4922,7,11.92,17.13,528.6,0.36,0.36,0.36,0,0.03,POINT (-79.15045 42.49221)
2018,QUEENS,LONG ISLAND CITY,2630401378,RAVENSWOOD STEAM PLANT,4961,0.46,17.96,5.05,13788.97,2.79,0,0,0,19.86,POINT (-73.94103 40.75072)
2019,NIAGARA,NIAGARA FALLS,9291100078,GLOBE METALLURGICAL INC,3313,0.01,0.14,0.12,168.59,0,0.01,0,0,0,POINT (-79.05551 43.096)
2014,QUEENS,QUEENS (6304),2630400404,BIG SIX TOWERS INC,6513,5.81,35.44,37.97,11528.83,3.27,0,3.27,0,0.03,POINT (-73.82999 40.714)
2019,WASHINGTON,GREENWICH,5532600004,HOLLINGSWORTH & VOSE-EASTON MILL,2621,2.02,17.61,6.08,20882.24,0,0,1.32,0,0.97,POINT (-73.49696 43.08752)
2018,ALBANY,SELKIRK,4012200078,SELKIRK COGENERATION PROJECT,4911,7.97,158.37,143.15,235231.78,20.95,6.82,3.58,0,1.18,POINT (-73.79876 42.53269)
2018,ERIE,ELMA,9144200040,MOOG INC,3492,30.36,2.31,1.86,2603.73,0.83,0.17,0,0.11,0.02,POINT (-78.64034 42.84926)
2012,RENSSELAER,RENSSELAER,4381400052,EMPIRE POWER PLANT,4911,3.4,96.11,16.76,1586557.78,50.9,50.9,50.9,0,8.02,POINT (-73.74127 42.64472)
2019,SUFFOLK,RIVERHEAD,1473000001,BERRY SPECIALTY TAPES LLC,2672,7.23,2.26,1.68,2720.08,2.71,0.15,0.03,0,0.01,POINT (-72.66016 40.95036)
2011,STEUBEN,BATH,8462400159,SREC BATH LFGTE FACILITY,4911,0.84,23.51,94.28,24174.12,5.1,5.1,0,0.86,0.98,POINT (-77.31785 42.33799)
2013,KINGS,BROOKLYN (6101),2610101077,N 1ST STREET PLANT,4911,0.84,4.81,2.42,29394.5,1.17,1.17,1.17,0,0.02,POINT (-73.99036 40.69245)
2022,KINGS,BROOKLYN,2610100042,CON EDISON - HUDSON AVE STATION,4911,0.05,2.43,0.27,610.29,0.08,0.01,0.04,0.01,0.21,POINT (-73.99036 40.69245)
2020,WESTCHESTER,YORKTOWN HEIGHTS,3555400036,THOMAS J WATSON RESEARCH CENTER,3571,3,10.84,2.72,11267.83,1.19,0.39,0.79,0,0.11,POINT (-73.78311 41.26851)
2010,JEFFERSON,LEWIS & JEFFERSON CO,6990600006,FORT DRUM - US MILITARY,9711,15.46,0,0,50157.49,0.01,0.01,0,0,0,POINT (-75.912258385 44.041032486)
2013,KINGS,BROOKLYN (6104),2610400249,NYC-HH - KINGS COUNTY HOSPITAL CENTER,8062,1.27,23.89,17.6,25543.84,1.71,1.57,1.57,0,2.07,POINT (-73.99036 40.69245)
2012,SUFFOLK,HUNTINGTON,1472600790,HUNTINGTON RESOURCE RECOVERY FACILITY,4953,1.19,357.21,33.42,215340.4,1.07,0.02,0,10.46,5.26,POINT (-73.42913 40.8722)
2015,ERIE,TONAWANDA,9146400130,HUNTLEY STEAM GENERATING STATION,4911,7.87,251.43,66.52,483238.45,54.24,17.93,10.12,9.3,1158.4,POINT (-78.88617 43.01888)
2021,QUEENS,FLORAL PARK,2630700339,N SHORE TOWERS APT TOTAL ENERGY PLANT,6513,17.86,37.01,31.85,21151.85,2.46,0.72,1.73,4.86,0.08,POINT (-73.70576 40.72364)
2010,ONONDAGA,LYSANDER,7313600002,ANHEUSER BUSCH BALDWINSVILLE BREWERY,2082,78.84,47.71,28.91,32773.37,6.4,2.15,2.12,0.01,30.2,POINT (-76.4591 43.20646)
2018,NASSAU,OYSTER BAY,1282400455,GLOBAL COMPANIES - COMMANDER TERMINAL,5171,0.94,0.07,0.02,78.4,0.01,0,0.01,0,0,POINT (-73.53412 40.87239)
2010,SUFFOLK,SOUTHAMPTON,1473601438,SOUTHAMPTON GT FACILITY,4911,0.02,16.53,0.12,4657.59,0.62,0.62,0.58,0,0.93,POINT (-72.38492 40.88804)
2016,CLINTON,ROUSES POINT,5092800017,WYETH PHARMACEUTICALS,2833,1.73,28.49,13.12,18131.4,1.38,0.06,1.3,0.17,0.38,POINT (-73.36485 44.99433)
2011,ERIE,BUFFALO,9140200600,BUFFALO TERMINAL,5171,38.4,0.01,0,0,0,0,0,0,0,POINT (-78.87846 42.88545)
2021,MONROE,ROCHESTER,8261400823,CARESTREAM HEALTH AT EASTMAN BUSINESS PARK,3861,0.23,0.11,0.09,140.96,0.06,0.01,0,0.32,0,POINT (-77.61632 43.1558)
2016,NASSAU,INWOOD,1282000947,GLOBAL COMPANIES LLC - INWOOD TERMINAL,5171,71.97,0.17,0.14,204.87,0.01,0.01,0,0,0,POINT (-73.74661 40.61624)
2014,NEW YORK,MANHATTAN (6204),2620400064,NY - PRESBYTERIAN HOSPITAL-525 E 68TH ST,8062,5.03,52.64,60.31,91162.13,13.36,11.22,2.12,0,4.56,POINT (-74.00601 40.7145)
2017,NIAGARA,NIAGARA FALLS,9291100030,CHEMOURS NIAGARA,2819,0.22,0.23,0.06,277.17,0.02,0.02,0,0.12,0,POINT (-79.05551 43.096)
2013,SUFFOLK,ISLIP,1472801386,CEDAR GRAPHICS IGI,2752,10.94,0.07,0.06,86.1,0.01,0.01,0.01,0,0,POINT (-73.218 40.72817)
2011,BRONX,BRONX (6005),2600500139,PARKCHESTER SOUTH CONDOMINIUM,6513,2.21,57.34,33.26,48551.8,3.34,2.97,2.97,0,3.05,POINT (-73.92309 40.826)
2010,ST LAWRENCE,DEKALB,6403000002,CORNING INC CANTON PLANT,3229,0.28,86.64,3.58,9503.09,9.82,9.77,0.04,4.96,0.07,POINT (-75.34272 44.49895)
2016,OSWEGO,FULTON,7355800001,INTERFACE PERFORMANCE MATERIALS,3053,3.09,3.34,1.48,2112,3.31,0,3.31,0,0.01,POINT (-76.41527 43.32201)
2018,RICHMOND,STATEN ISLAND,2649900029,NYCDOS - FRESH KILLS LANDFILL,4953,4.51,14.64,14.46,17556.63,4.05,3.8,0,0.03,1.25,POINT (-74.07527 40.64242)
2022,WARREN,GLENS FALLS,5520500013,LEHIGH CEMENT COMPANY LLC,3241,7.81,420.01,229.78,359539.22,145.87,77.38,68.37,0.67,26.62,POINT (-73.64376 43.31122)
2010,NEW YORK,MANHATTAN (6202),2620200106,RIVERSIDE PARK COMMUNITY LLC,6513,0.29,14.22,1.48,7321.83,0.94,0.94,0.05,0,13.68,POINT (-74.00601 40.7145)
2019,WESTCHESTER,BUCHANAN,3552200087,CONTINENTAL BUCHANAN LLC,3275,1.64,15.86,77.32,51627.73,72.51,0,0,0,0.61,POINT (-73.93944 41.26097)
2015,ALBANY,COLONIE,4012600138,ALBANY COUNTY SEWER DISTRICT - NORTH PLANT,4952,8.06,23.71,243.13,337.47,2.12,1.95,0.02,0.05,1.93,POINT (-73.83711 42.72132)
2022,SUFFOLK,HOLTSVILLE,1472200574,"HOLTSVILLE TERMINAL, NORTHVILLE IND CORP",5171,39.36,0.2,2.06,439.55,0,0,0,2.17,0,POINT (-73.04096 40.81487)
2010,KINGS,BROOKLYN (6103),2610300760,MAIMONIDES MEDICAL CENTER,8062,1,15.59,5.17,15600.01,1.03,1,0.4,0,0.54,POINT (-73.99036 40.69245)
2013,SUFFOLK,ISLIP,1472803244,EDGEWOOD ENERGY LLC,4911,2.31,10.4,37.94,131767.72,7.32,7.32,7.31,0,0.67,POINT (-73.218 40.72817)
2011,RICHMOND,STATEN ISLAND (6402),2640200295,POUCH TERMINAL,4911,1.83,5.98,5.65,65344.12,3.89,3.89,0.01,0,0.34,POINT (-74.07527 40.64242)
2010,NEW YORK,MANHATTAN (6201),2620100005,NEW YORK PRESBYTERIAN HOSPITAL,8062,6.32,59.52,20.07,68289.3,4.62,4.6,4.19,0,2.77,POINT (-74.00601 40.7145)
2014,NIAGARA,NIAGARA FALLS,9291100113,"COVANTA NIAGARA I, LLC",4953,7.35,855.55,71.55,519695,11.14,8.74,1.62,40.57,225.21,POINT (-79.05551 43.096)
2010,KINGS,BROOKLYN (6101),2610100105,ARC TERMINALS BROOKLYN,5171,22.74,0.03,0.02,33.93,0,0,0,0,0,POINT (-73.99036 40.69245)
2022,ONONDAGA,JAMESVILLE,7314200028,ONONDAGA CO RESOURCE RECOVERY FACILITY,4953,4.89,603.08,23.59,403524.4,2.49,1.71,0.02,11.94,8.76,POINT (-76.07025 42.9916)
2017,OSWEGO,OSWEGO,7351200030,OSWEGO HARBOR POWER,4911,1.58,59.72,18.44,52823.26,2.34,0.43,1.9,0.53,100.88,POINT (-76.51119 43.45646)
2016,ALBANY,GLENMONT,4012200044,BETHLEHEM ENERGY CENTER,4911,24.89,129.31,12.97,2152916.76,119.66,0.3,118.9,0,21.69,POINT (-73.77026 42.60476)
2012,SARATOGA,WATERFORD,5415400002,MOMENTIVE PERFORMANCE MATERIALS,2821,75.47,134.51,106.86,125242.72,14.45,11.24,7.95,12.51,0.82,POINT (-73.67934 42.79051)
2019,ONONDAGA,SYRACUSE,7311500204,SYRACUSE UNIVERSITY - STEAM STATION,8221,2.27,54.04,45.11,64440.6,0.02,0,4.06,0,0.32,POINT (-76.14738 43.05042)
2019,ROCKLAND,SUFFERN,3392600041,GOOD SAMARITAN HOSPITAL,8062,0.24,5.3,4.15,5918.3,0,0.01,0.37,0,0.07,POINT (-74.14974 41.11493)
2015,OSWEGO,OSWEGO,7351200030,OSWEGO HARBOR POWER,4911,2.48,100.18,24.32,85830.78,5.52,2.22,2.65,0.95,188.1,POINT (-76.51119 43.45646)
2013,QUEENS,QUEENS (6302),2630200012,TALLMAN ISLAND WASTEWATER TREATMENT PLANT,4952,0.8,57.25,3.7,5927.81,2.34,2.34,1.26,0.82,3.78,POINT (-73.82999 40.714)
2021,KINGS,BROOKLYN,2610200482,NYPA JOSEPH J SEYMOUR - 23RD ST & 3RD AVE,4911,1.39,5.62,2.21,50766.56,2.83,0,2.83,0.44,0.32,POINT (-73.99036 40.69245)
2011,KINGS,BROOKLYN (6101),2610100071,GREENPOINT ENERGY CTR,4923,0.66,2.71,1.83,333.88,0.58,0.58,0.04,0,0,POINT (-73.99036 40.69245)
2018,SUFFOLK,HAUPPAUGE,1473402330,ALADDIN PACKAGING LLC,2671,32.48,0.71,0.59,841.35,0.05,0,0.05,0,0,POINT (-73.20342 40.82523)
2012,SUFFOLK,HUNTINGTON,1472600130,NORTHPORT POWER STATION,4911,94.99,1198.27,1456.3,2147224.63,176.86,127.73,125.93,0,615.99,POINT (-73.42913 40.8722)
2012,KINGS,BROOKLYN (6104),2610400174,BROOKDALE MED HOSP CTR-1275 LINDEN BLVD,8062,1.56,19.98,4.95,16655.4,1.09,1.05,1.05,0,0.36,POINT (-73.99036 40.69245)
2021,NEW YORK,NEW YORK,2620500246,NYU CENTRAL PLANT,8221,1.76,25.01,52.52,71501.93,4.42,0,4.41,0.7,0.3,POINT (-74.00712 40.71453)
2016,KINGS,BROOKLYN,2610700079,NYC-TA CONEY ISLAND YARD,4111,1.23,6.39,1.39,6178.27,0.64,0.21,0.43,0,7.89,POINT (-73.99036 40.69245)
2017,ALBANY,COHOES,4012600602,INNOVATIVE / COLONIE,4911,11.32,19.79,101.46,19946.82,4.22,2.97,1.25,1.63,81.17,POINT (-73.70009 42.77465)
2018,CHAUTAUQUA,DUNKIRK,9060300021,DUNKIRK STEAM GENERATING STATION,4911,0.07,1.31,0.26,1568.98,1.3,0,0.1,0,0.01,POINT (-79.33578 42.48724)
2021,COLUMBIA,RIDERS MILLS,4102600037,COMPRESSOR STATION 254,4922,8.08,87.74,75.03,25122.66,4.26,0.13,4.09,3.7,0.58,POINT (-73.564 42.48092)
2017,NEW YORK,NEW YORK,2620200007,NORTH RIVER WASTEWATER TREATMENT PLANT,4952,6.67,212.62,108.5,38539.1,6.86,6.86,0,1.04,9.78,POINT (-74.00712 40.71453)
2014,LEWIS,CROGHAN,6232000018,BEAVER FALLS LLC,4931,0.63,13.3,10.01,14337.57,0.91,0.87,0.04,0,0.09,POINT (-75.39118 43.89781)
2018,RENSSELAER,HOOSICK FALLS,4382800031,SAINT GOBAIN PERFORMANCE PLASTICS,2295,2.93,4.4,0.63,294.38,0.78,0.74,0.04,0,0.25,POINT (-73.34957 42.90196)
2016,ONONDAGA,SOLVAY,7313200035,SYRACUSE LLC,4931,1.45,21.94,5.52,18571.27,1.5,0.38,1.12,0,0.16,POINT (-76.21303 43.06147)
2015,NEW YORK,MANHATTAN (6204),2620400139,FRANKLIN PLAZA APARTMENTS,6513,0.63,31.58,3.57,15344.06,2.69,0,2.6,0.21,26.24,POINT (-74.00601 40.7145)
2016,SUFFOLK,GREENPORT,1473803119,HAWKEYE ENERGY GREENPORT,4911,0.01,1.77,0.04,12160.61,0.15,0.15,0,0,0.06,POINT (-72.36323 41.10256)
2020,WESTCHESTER,VALHALLA,3553400189,VALHALLA CAMPUS (GRASSLANDS),9199,1.25,23.02,19.04,27626.02,1.78,0.04,1.72,0,0.73,POINT (-73.77298 41.07378)
2020,CHEMUNG,ELMIRA HEIGHTS,8070400036,ANCHOR GLASS CONTAINER CORP,3221,42.77,809.13,51.93,229639.58,148.77,14.46,134.31,5.29,585.77,POINT (-76.82701 42.12825)
2015,QUEENS,QUEENS (6301),2630100065,ELMHURST HOSP-79-01 BROADWAY,8062,0.47,7.8,2.39,5305.69,0.62,0.29,0.33,0,0.17,POINT (-73.82999 40.714)
2016,QUEENS,ASTORIA,2630100072,ASTORIA ENERGY LLC & ASTORIA ENERGY II LLC,4911,19.45,162.26,39.74,2702038.46,157.7,157.61,0,0,13.69,POINT (-73.93014 40.77205)
2021,FRANKLIN,CONSTABLE,5169900003,CFSWMA REGIONAL SOLID WASTE DISPOSAL FAC,4953,1.07,0.4,2.16,1593.7,0.1,0,0.1,0.46,0.52,POINT (-74.29712 44.92934)
2012,NEW YORK,MANHATTAN (6205),2620500182,MUTUAL REDEVELOPMENT HOUSES,6513,11.93,51.37,59.22,20608.46,7.43,7.43,7.43,0,6.91,POINT (-74.00601 40.7145)
2014,ERIE,BUFFALO,9140200565,GENERAL MILLS OPERATIONS LLC,2043,0.57,12.64,11.43,16311.23,280.76,0.72,0.3,0,0.09,POINT (-78.87846 42.88545)
2022,NEW YORK,NEW YORK,2620400019,CON ED-74TH STREET STA,4961,21.55,267.02,192.16,302718.62,28.51,12.49,0.03,2.78,74.53,POINT (-74.00712 40.71453)
2020,ALBANY,RAVENA,4012400001,RAVENA CEMENT PLANT,3241,29.67,558.67,558.5,1153566.11,158.71,75.4,75.43,1.59,58.71,POINT (-73.81254 42.4719)
